index,data_source,TTC,PET,a_p,a_l,jerk,yaw_rate,task_time,avg_delay,IO,impact,score
1,waymo_raw data,1,0.049936654,1,1,0.880952381,1,0.472365868,0.508594954,0.928719032,0.996517349,0.333333333
2,waymo_raw data,1,0.731249913,1,0.975,0.702702703,1,0.821679929,0.912887609,0.123735731,1,0.633333333
3,waymo_raw data,1,0.052707369,0.979166667,1,0.891891892,1,0.353367651,0.437559511,0.375368114,0.928105186,0.266666667
4,waymo_raw data,1,1,1,1,0.474576271,1,0.745101082,0.113983719,0.542288151,0.979062894,0.9
5,waymo_raw data,1,1,1,0.984848485,0.306122449,1,0.73977623,0.82522117,0.630674334,0.965810173,0.883333333
6,waymo_raw data,1,1,1,1,0.477272727,1,0.665904377,0.758518441,0.501141422,1,0.966666667
7,waymo_raw data,1,1,1,0.846153846,0.679245283,1,0.619089726,0.681801774,0.987758288,0.977211171,0.766666667
8,waymo_raw data,1,0.067609958,0.901639344,1,0.555555556,1,0.351756753,0.381213706,0.220465953,0.884222122,0.233333333
9,waymo_raw data,0.162842567,0.085349559,1,0.794871795,0.5,1,0.346274963,0.397621097,0.722532164,1,0.6
10,waymo_raw data,1,1,1,1,0.642857143,1,0.651435914,0.722367644,0.512424736,0.990174132,0.883333333
11,waymo_raw data,1,1,1,0.666666667,0.666666667,1,0.622388111,0.664702414,0.952204752,0.990551311,0.633333333
12,waymo_raw data,1,1,0.96969697,0.848484848,0.558823529,1,0.663566028,0.753607651,0.670770005,0.964143471,0.833333333
13,waymo_raw data,1,1,1,1,0.862745098,1,0.820633442,0.866126848,0.798774909,0.966646866,0.966666667
14,waymo_raw data,1,0.053772129,1,1,0.587301587,1,0.145670329,0.472318641,0.406496523,1,0.266666667
15,waymo_raw data,1,1,1,1,0.6,1,0.658115629,0.708395321,0.599983809,1,0.933333333
16,waymo_raw data,1,1,0.962264151,0.905660377,0.87804878,1,0.685150812,0.752139529,0.820529905,0.945650837,0.933333333
17,waymo_raw data,1,1,1,1,0.588235294,1,0.721278197,0.787553325,0.593439985,0.993443005,0.966666667
18,waymo_raw data,1,1,0.913043478,1,0.315789474,1,0.680227524,0.735886147,0.369908067,1,0.733333333
19,waymo_raw data,1,1,1,1,0.461538462,1,0.407726557,0.568275224,0.54080752,0.946470313,0.733333333
20,waymo_raw data,1,1,0.933333333,0.933333333,0.618181818,1,0.419793337,0.442220765,0.177650363,1,0.766666667
21,waymo_raw data,1,1,1,1,0.473684211,1,0.61291009,0.644104448,0.564924001,0.981190527,0.966666667
22,waymo_raw data,1,1,1,1,0.377777778,1,0.670581508,0.775631976,0.561719679,0.931434557,1
23,waymo_raw data,1,0.398917759,1,0.977777778,0.518518519,1,0.447194287,0.878906062,0.315202455,1,0.333333333
24,waymo_raw data,1,1,0.916666667,1,0.431372549,1,0.65175315,0.826334275,0.961126216,0.994765067,0.766666667
25,waymo_raw data,1,0.050086689,1,1,0.558139535,1,0.522855871,0.534433358,0.561936397,0.989177566,0.266666667
26,waymo_raw data,1,1,1,1,0.472727273,1,0.506789165,0.527257186,0.565036373,1,0.766666667
27,waymo_raw data,1,0.726875549,1,0.975,0.534883721,1,1,1,0.092281493,1,0.7
28,waymo_raw data,1,1,1,0.977777778,0.666666667,1,0.737418669,0.183240818,0.599109165,0.99486781,0.733333333
29,waymo_raw data,1,1,0.929824561,1,0.785714286,1,0.683251436,0.003941246,0.632922365,0.96763442,0.733333333
30,waymo_raw data,1,1,0.955555556,0.911111111,0.725490196,1,0.475243624,0.594174183,0.944585411,0.996402005,0.7
31,waymo_raw data,1,1,1,0.684210526,0.289473684,1,0.519715208,0,0.536288236,1,0.766666667
32,waymo_raw data,1,1,0.95,0.475,0.490196078,1,0.327248981,0.437106022,0.390636256,0.789553579,0.633333333
33,waymo_raw data,1,1,1,0.358974359,0.534883721,1,0.583474506,0.799471881,0.993514677,0.963757981,0.833333333
34,waymo_raw data,1,1,1,0.887096774,0.41025641,1,0.563688429,0.659149485,0.61674381,0.98047938,0.733333333
35,waymo_raw data,1,1,1,0.983870968,0.875,1,0.853584247,0.796077973,0.806177119,0.983660604,0.866666667
36,waymo_raw data,1,1,1,0.978723404,0.571428571,1,0.759880833,0.861644175,0.897214434,0.927976914,0.933333333
37,waymo_raw data,1,1,1,1,0.604651163,1,0.741329498,0.816862675,0.560989359,1,0.833333333
38,waymo_raw data,1,1,1,0.957142857,0.46,1,0.574408131,0.918378419,0.646503813,0.952514055,0.866666667
39,waymo_raw data,1,0.156452943,0.595744681,0.553191489,0.298245614,1,0.603100703,0,0.099064089,0.992527276,0.233333333
40,waymo_raw data,1,0.156452943,0.644067797,0.610169492,0.4,1,0.601943012,0.638354663,0.024571017,0.945474357,0.333333333
41,waymo_raw data,0.104215416,1,0.983870968,0.64516129,0.62745098,1,0.251956174,0.496720202,0.16589514,0.933095912,0.733333333
42,waymo_raw data,1,1,1,0.815789474,0.435897436,1,0.560649486,0.089154284,0.014652517,0.971180547,0.833333333
43,waymo_raw data,1,0.355937545,0.930232558,0.76744186,0.52,1,0.070029304,0.473288121,0.016986666,0.892085947,0.666666667
44,waymo_raw data,1,1,1,0.946428571,0.795454545,1,0.734660697,0.782703696,0.969528359,0.998864412,0.766666667
45,waymo_raw data,1,1,1,1,0.418604651,1,0.708021246,0.745765127,0.090113542,0.986024571,0.966666667
46,waymo_raw data,1,1,0.94,1,0.595744681,1,0.695393678,0.027193359,0.718380858,0.994912415,0.8
47,waymo_raw data,1,1,1,1,0.576923077,1,0.624032515,0.670624966,0.533175733,0.946660568,0.766666667
48,waymo_raw data,0.060566088,0.143991645,0.372093023,1,0.848484848,1,0.306110449,0.038826044,0.398782919,0.989895304,0.6
49,waymo_raw data,1,1,0.548387097,1,0.685185185,1,0.438830901,0.464328988,0.013675664,1,0.833333333
50,waymo_raw data,1,1,1,1,0.744680851,1,0.667171715,0.519023314,0.561221592,1,0.9
51,waymo_raw data,1,1,1,1,0.782608696,1,0.767543563,0.865876944,0.529475404,0.930005776,0.933333333
52,waymo_raw data,1,0.234570288,1,1,0.8,1,0.40573097,0.425850612,0.230457216,1,0.366666667
53,waymo_raw data,1,1,1,1,0.671641791,1,0.687508871,0.214076972,0.150082147,0.996964291,0.9
54,waymo_raw data,1,1,1,1,0.372093023,1,0.231734764,0.246629705,0.727327128,0.984407606,0.866666667
55,waymo_raw data,1,1,1,1,0.754716981,1,0.761858956,0.609044166,0.016062404,1,0.9
56,waymo_raw data,1,1,1,1,0.552631579,1,0.717100625,0.702636422,0.601904483,0.978711767,1
57,waymo_raw data,1,0.286504797,0.925,0,0.422222222,0.7,0.481387999,0.260808402,0.979065059,1,0.6
58,waymo_raw data,1,1,0.905660377,1,0.857142857,1,0.552691645,0.673241522,0.379984002,0.902993812,0.966666667
59,waymo_raw data,1,0.341981034,0.658536585,0.024390244,0.814814815,1,0.306719657,0,0.163381482,1,0.2
60,waymo_raw data,1,1,1,1,0.462962963,1,0.82861938,0.919188748,0.911856544,0.996534491,0.8
61,waymo_raw data,1,1,0.884615385,1,0.46031746,1,0.528089977,0.654986032,0.141123555,0.836596431,0.9
62,waymo_raw data,1,1,1,1,0.438596491,1,0.460079606,0.316644487,0.280173772,0.875335539,0.8
63,waymo_raw data,1,0.161378942,0.918367347,1,0.5,1,0.651895939,0.660534029,0.196076437,1,0.266666667
64,waymo_raw data,1,0.10752843,1,1,0.75,1,0.225739545,0.24762662,0.255954746,1,0.2
65,waymo_raw data,1,1,1,0.45,0.851851852,1,0.516343781,0.061167503,0.78855973,1,0.8
66,waymo_raw data,1,0.309746828,0.641025641,1,0.533333333,1,0.651244748,0.911785971,0.017134208,0.945497832,0.6
67,waymo_raw data,0.041388975,0.061544179,0.923076923,0.25,0.673076923,0.653846154,0.179102874,0.292334835,0.48597382,0.922373295,0.233333333
68,waymo_raw data,0.915034004,1,1,0.958333333,0.518518519,1,0.586852604,0.676825926,0.124881673,0.970074843,0.7
69,waymo_raw data,1,1,1,1,0.431034483,1,0.625495188,0.045035008,0.408696274,0.98830659,0.833333333
70,waymo_raw data,1,1,1,1,0.378378378,1,0.626518464,0.217928944,0.015596131,0.97568851,0.9
71,waymo_raw data,1,0.050086689,0.948717949,0.205128205,0.386363636,1,0.689680335,0.584122347,0.357685926,1,0.266666667
72,waymo_raw data,1,0.36349127,1,1,0.5,1,0.803473998,1,0.34317515,1,0.333333333
73,waymo_raw data,1,1,1,1,0.621621622,1,0.753611504,0.850191359,0.104086763,1,0.9
74,waymo_raw data,1,1,1,1,0.846153846,1,0.787061311,0,0.5055706,0.98138332,0.966666667
75,waymo_raw data,0.089752833,0.050237174,0.675,0.375,0.75,0.6,0.249392589,0.154413604,0.381189642,1,0.266666667
76,waymo_raw data,1,1,1,1,0.884615385,1,0.291567447,0.055809791,0.905203192,1,0.9
77,waymo_raw data,1,1,1,1,0.7,1,0.445758902,0,0.014705221,0.965726491,0.933333333
78,waymo_raw data,0.057516708,0.075698268,0.977272727,0.045454545,0.770491803,0.136363636,0.117841326,0.125357874,0.982537973,1,0.016666667
79,waymo_raw data,1,1,0.951219512,0.243902439,0.86,1,0.732438283,0.484403683,0.609345248,1,0.5
80,waymo_raw data,1,1,1,1,0.842105263,1,0.713344218,0.143868117,0.4879566,0.991910993,0.866666667
81,waymo_raw data,0.055085063,1,0.925,0.35,0.673469388,1,0.195800959,0.0012052,0.185340079,1,0.266666667
82,waymo_raw data,1,1,1,1,0.823529412,1,0.636200151,0.674299294,0.488010726,0.976771965,0.993333333
83,waymo_raw data,0.278480889,0.052918621,1,1,0.661538462,1,0.798498191,0.588264409,0.296495181,1,0.366666667
84,waymo_raw data,1,1,1,1,0.568181818,1,0.240865734,0.169215335,0.3257016,1,0.7
85,waymo_raw data,0.113005769,1,0.961538462,0.653846154,0.722222222,1,0.653701305,0.68669996,0.906144233,0.946300375,0.566666667
86,waymo_raw data,1,1,1,0.980392157,0.551020408,1,0.52352465,0.749700131,0.463254856,0.936224199,0.9
87,waymo_raw data,1,0.199089661,1,0.693877551,0.62745098,1,0.996306547,1,0.237956483,1,0.266666667
88,waymo_raw data,1,1,1,1,0.484848485,1,0.684533839,0,0.570129726,0.993527169,0.933333333
89,waymo_raw data,1,1,0.925,0.75,0.844827586,1,0.452418806,0.792183882,0.202036436,1,0.6
90,waymo_raw data,1,1,1,1,0.96,1,0.636543934,0.669521837,0.503951692,0.90682835,0.933333333
91,waymo_raw data,1,1,1,1,0.575757576,1,0.529543042,0.565111899,0.994108342,0.90389165,0.933333333
92,waymo_raw data,1,1,1,1,0.820512821,1,0.696452593,0.438140483,0.024555041,1,0.966666667
93,waymo_raw data,1,1,1,1,0.545454545,1,0.731949608,0.585684739,0.159479424,0.807807233,0.833333333
94,waymo_raw data,1,1,1,1,0.716981132,1,0.729625829,0.746189823,0.815815372,1,0.866666667
95,waymo_raw data,1,1,1,1,0.681818182,1,0.77442515,0.81392402,0.503532514,0.974408392,0.683333333
96,waymo_raw data,0.164302605,1,1,1,0.566037736,1,0.699980706,0.436555011,0.228272289,0.974970975,0.766666667
97,waymo_raw data,1,1,1,0.979166667,0.639344262,1,0.4598087,0,0.961166333,0.99730214,0.866666667
98,waymo_raw data,1,1,1,1,0.755102041,1,0.731666089,0.166197378,0.598846396,0.986928214,0.933333333
99,waymo_raw data,1,1,0.960784314,0,0.775862069,1,0.726343399,0.105531777,0.119707333,0.998270473,0.9
100,waymo_raw data,1,1,1,1,0.583333333,1,0.870293089,0.847376497,0.422655152,1,0.733333333
101,waymo_raw data,1,0.3204593,1,0.279069767,0.692307692,1,0.522557915,0.623712884,0.362565244,0.981228623,0.633333333
102,waymo_raw data,1,0.050237174,0.71875,0.65625,0.743589744,1,0.522117143,0.711301647,0.372071567,0.981491688,0.266666667
103,waymo_raw data,0.17886197,1,0.840909091,1,0.8,1,0.550603962,0.631475221,0.39244615,0.827095861,0.766666667
104,waymo_raw data,1,0.050945441,1,1,0.462962963,1,0.419928882,0.478222583,0.91738274,1,0.266666667
105,waymo_raw data,1,1,1,1,0.6,1,0.683331712,0.856988399,0.484185571,0.951893135,0.9
106,waymo_raw data,1,1,1,1,0.918918919,1,0.743935616,0.239985106,0.69862358,0.996016007,0.916666667
107,waymo_raw data,1,1,1,1,0.571428571,1,0.770700615,0.596493203,0.286504797,1,0.866666667
108,waymo_raw data,1,1,1,1,0.53968254,1,0.731763376,0.864595531,0.604101765,0.97943353,0.933333333
109,waymo_raw data,1,0.050792834,0.549019608,0.960784314,0.512820513,1,0.850659913,1,0.215167539,1,0.366666667
110,waymo_raw data,1,1,1,0.827586207,0.893617021,1,0.487173071,0.470509513,0.012732595,1,0.766666667
111,waymo_raw data,1,0.050388112,1,1,0.854166667,1,0.554721587,1,0.948094776,1,0.133333333
112,waymo_raw data,1,1,1,0.953488372,0.9,1,0.37862909,0.531919214,0.013288048,0.98692778,0.766666667
113,waymo_raw data,1,1,1,1,0.868852459,1,0.794599612,0.868610772,0.623816338,0.986167681,0.933333333
114,waymo_raw data,0.049060137,1,0.882352941,0.784313725,0.923076923,1,0.669190124,0.823352525,0.254175278,0.915300791,0.733333333
115,waymo_raw data,1,0.199089661,1,0.693877551,0.666666667,1,0.996306547,0.361247125,0.251573027,1,0.266666667
116,waymo_raw data,1,1,1,1,0.6875,1,0.536297504,0.115998727,0.907214518,0.992707197,0.733333333
117,waymo_raw data,1,1,1,1,0.875,1,0.54840586,0.41397265,0.630610962,0.988458915,0.9
118,waymo_raw data,1,1,1,1,0.738095238,1,0.53294244,0.575241147,0.286504797,1,0.933333333
119,waymo_raw data,1,1,1,0.962264151,0.895833333,1,0.526586126,0.697263142,0.939913768,0.991637635,0.766666667
120,waymo_raw data,1,0.775691802,0.9,1,0.84375,1,0.427295969,0.609644447,0.099835861,1,0.733333333
121,waymo_raw data,1,1,0.979591837,0.408163265,0.58,1,0.488016773,0.899804403,0.152405761,1,0.966666667
122,waymo_raw data,1,1,1,1,0.666666667,1,0.707458188,0.782354337,0.636359967,0.993900638,0.766666667
123,waymo_raw data,1,1,1,1,0.386363636,1,0.8208547,0.849622556,0.515673577,0.972490628,0.866666667
124,waymo_raw data,1,1,0.970588235,1,0.75,1,0.496067233,0.390881416,0.01450968,1,0.9
125,waymo_raw data,1,1,1,1,0.744186047,1,0.408044123,0.583605492,0.358519277,0.983087652,0.866666667
126,waymo_raw data,1,1,1,1,0.8,1,0.685985898,0.74910698,0.454013091,1,0.933333333
127,waymo_raw data,1,1,1,1,0.741935484,1,0.592306734,0,0.016226718,0.945652568,0.933333333
128,waymo_raw data,1,0.056472584,1,1,0.6,1,0.763800785,0.516722047,0.441330299,1,0.233333333
129,waymo_raw data,1,1,0.945454545,1,0.732142857,1,0.698991185,0.700515108,0.886572508,0.945839905,0.966666667
130,waymo_raw data,0.122963055,1,0.644444444,1,0.64516129,1,0.11657082,0.489598045,0.391264281,0.884399707,0.433333333
131,waymo_raw data,1,0.208253332,1,1,0.534883721,1,1,0.440486133,0.449241995,1,0.266666667
132,waymo_raw data,1,1,1,1,0.75,1,0.655228954,0.706251937,0.593687477,0.995601714,1
133,waymo_raw data,1,1,1,1,0.769230769,1,0.690801515,0.539400534,0.950110001,0.99790339,0.866666667
134,waymo_raw data,1,1,1,0.972222222,0.53968254,1,0.653413004,0.727354802,0.605155622,1,0.866666667
135,waymo_raw data,1,1,1,1,1,1,0.509769915,0.522513532,0.567437161,0.990118849,0.866666667
136,waymo_raw data,1,1,1,0.875,0.71875,1,0.717867141,0.603095674,0.848585642,0.995045103,0.933333333
137,waymo_raw data,1,1,1,1,0.595744681,1,0.633289769,0,0.01844172,0.972884171,1
138,waymo_raw data,1,1,0.966101695,1,0.697674419,1,0.700829126,0.751414968,0.645668765,0.894200002,0.866666667
139,waymo_raw data,1,1,1,1,0.87755102,1,0.728717772,0,0.46180357,1,0.833333333
140,waymo_raw data,0.164302605,1,1,1,0.775862069,1,0.698303884,0.370524093,0.079668746,0.975437139,0.7
141,waymo_raw data,1,1,1,0.984615385,0.810810811,1,0.670429138,0.752536129,0.64365974,0.986146904,0.933333333
142,waymo_raw data,1,1,1,1,0.534883721,1,0.741827537,0.852640846,0.845011259,0.962258673,0.983333333
143,waymo_raw data,0.041388975,0.051508935,0.916666667,0.270833333,0.604166667,0.625,0.178750205,0.291927865,0.42805092,0.992187665,0.066666667
144,waymo_raw data,1,1,1,0.977777778,0.779661017,1,0.689756782,0.128833337,0.908473684,0.993343249,0.866666667
145,waymo_raw data,1,0.155051184,1,1,0.897435897,1,0.752386532,0.661213269,0.208090231,0.978025031,0.4
146,waymo_raw data,1,0.721083743,0.585365854,1,0.631578947,1,0.344985018,0.284427465,0.111954556,1,0.766666667
147,waymo_raw data,1,1,0.558823529,0.470588235,0.403846154,1,0.161249592,0.528310567,0.017507844,1,0.9
148,waymo_raw data,1,1,0.9375,1,0.883333333,1,0.734887136,0.822632221,0.650955867,0.99443543,0.966666667
149,waymo_raw data,1,1,1,0.307692308,0.735294118,1,0.822643566,0.888946151,0.646602644,1,0.866666667
150,waymo_raw data,0.506442819,1,1,1,0.491525424,1,0.650138636,0.254216031,0.665778371,0.997319357,0.733333333
151,waymo_raw data,1,1,1,1,0.62,1,0.244927996,0.925556157,0.495804405,1,0.766666667
152,waymo_raw data,1,1,1,0.403508772,0.590909091,1,0.566949594,0.651010963,0.012224233,0.980730609,0.766666667
153,waymo_raw data,0.034541671,1,0.7,1,0.428571429,1,0.388607288,1,0.491298907,0.938052962,0.833333333
154,waymo_raw data,1,1,1,1,0.575757576,1,0.735957231,0.807697185,0.540975982,0.903436057,0.966666667
155,waymo_raw data,1,1,0.97826087,0.97826087,0.264705882,1,0.731843306,0.786419718,0.433751548,0.88493432,0.8
156,waymo_raw data,1,0.737860866,1,1,0.538461538,1,0.646968327,0.534404502,0.163016281,1,0.366666667
157,waymo_raw data,1,0.050792834,1,0.754385965,0.864864865,1,0.437562255,0.365699643,0.246752233,1,0.366666667
158,waymo_raw data,1,1,0.901639344,1,0.551020408,1,0.588231098,0.803273191,0.636891654,0.987990134,0.566666667
159,waymo_raw data,1,1,1,0.7,0.604166667,1,0.12631087,0.497965072,0.013287922,0.891776883,0.766666667
160,waymo_raw data,0.303796771,1,0.386363636,1,0.760869565,1,0.51648006,0.50189377,1,1,0.466666667
161,waymo_raw data,0.062118801,1,0.883333333,0.15,0.552631579,0.85,0.569346546,0.34646945,0.173713018,1,0.566666667
162,waymo_raw data,1,1,0.666666667,1,0.638297872,1,0.548498705,0.626596132,0.389643441,0.906942436,0.833333333
163,waymo_raw data,1,1,1,1,0.78125,1,0.712312482,0.819939523,0.576107497,1,0.866666667
164,waymo_raw data,1,1,1,1,0.4,1,0.74005196,0.219678011,0.580494394,1,0.866666667
165,waymo_raw data,0.091687902,1,0.804347826,1,0.839285714,1,0.56877268,0.368470918,0.435329065,0.986702001,0.8
166,waymo_raw data,0.037268333,0.055188538,1,0.743589744,0.666666667,1,0.099097974,0.019205018,0.350683632,1,0.3
167,waymo_raw data,1,1,1,0.976190476,0.839285714,1,0.457450502,0.843217281,0.653868726,1,0.8
168,waymo_raw data,1,0.197305893,1,1,0.666666667,1,0.529541369,0.573067405,0.280220607,0.944296962,0.4
169,waymo_raw data,1,1,1,1,0.45,1,0.489700042,0.090497444,0.988813486,0.984472666,0.983333333
170,waymo_raw data,1,1,1,1,0.45,1,0.489700042,0.090497444,0.988813486,0.984472666,0.983333333
171,waymo_raw data,1,1,1,1,0.731707317,1,0.728788871,0.76977239,0.602629022,0.996981131,0.966666667
172,waymo_raw data,1,1,1,0.28125,0.595238095,1,0.766309244,0.869984234,0.594086548,1,0.866666667
173,waymo_raw data,1,1,1,1,0.805555556,1,0.739747599,0.804490558,0.020311148,0.998586591,0.833333333
174,waymo_raw data,1,1,1,1,0.857142857,1,0.761608448,0.836132886,0.488851013,0.942783274,0.9
175,waymo_raw data,1,1,1,1,0.666666667,1,0.733342479,0.79362203,0.646474725,0.965462044,0.866666667
176,waymo_raw data,1,1,0.954545455,1,0.770833333,1,0.631101429,0,0.612611642,1,0.833333333
177,waymo_raw data,1,0.256917566,0.87804878,0.926829268,0.620689655,1,0.430587743,0.427491178,0.999999912,0.981021251,0.233333333
178,waymo_raw data,1,1,1,1,0.6,1,0.738500223,0.304129006,0.591300238,0.991844263,0.8
179,waymo_raw data,1,1,1,1,0.803571429,1,0.753194979,0.812213476,0.534195651,0.977022065,1
180,waymo_raw data,1,0.223353402,0.875,1,0.581395349,1,0.768195148,0.629334318,0.007800398,1,0.366666667
181,waymo_raw data,1,1,1,1,0.25,1,0.726109529,0.296915255,0.501944209,0.990230117,0.9
182,waymo_raw data,1,0.156452943,0.511627907,0.604651163,0.285714286,1,0.558369974,0,0.008525975,0.995868255,0.233333333
183,waymo_raw data,1,0.156452943,0.5,0.552631579,0.820512821,1,0.579063842,0,0.99716708,0.995779888,0.266666667
184,waymo_raw data,1,1,1,1,0.894736842,1,0.464244177,0.771123793,0.801881655,0.987209786,0.966666667
185,waymo_raw data,1,1,1,0.666666667,0.723404255,1,0.266534837,0,0.006742475,1,0.766666667
186,waymo_raw data,1,1,1,1,0.466666667,1,0.615828176,0.867330032,0.644465824,0.969140545,0.966666667
187,waymo_raw data,1,1,1,1,0.558823529,1,0.18896218,0.176609204,0.49480092,1,0.733333333
